id,ip,country,port,root_folders,date_added
231,62.195.54.204,NL,443,"Backups,Boeken,DivX,Documents,Mediaplayer,Movies,Music,NDS,Pictures,QuikTransfer,Scans,TimeMachine","2014-04-25 00:41:13"
232,82.74.119.208,NL,443,"Afbeeldingen,Movies,MP3,Torrent Downloads","2014-04-25 00:41:13"
233,80.56.253.85,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:13"
234,77.251.177.42,NL,443,"Algemeen,Film,Muziek,Soepwinkel","2014-04-25 00:41:13"
235,217.122.162.235,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:13"
236,95.96.95.220,NL,443,"Backups,Documents,Downloads,Movies,Music,Pictures,QuikTransfer,Series,TimeMachine","2014-04-25 00:41:13"
237,80.100.92.137,NL,443,"Nieuw Website Materiaal,Ron","2014-04-25 00:41:13"
238,213.109.124.44,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:13"
239,83.160.112.169,NL,443,Scanmap,"2014-04-25 00:41:13"
240,83.80.196.158,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:13"
241,94.213.39.22,NL,443,"Backups,FB,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:13"
242,88.159.162.28,NL,443,"Administration,Backups,Books,Elvi,Images,Maarten,Margo,Movies,Music,Pictures,Rubi,TimeMachine","2014-04-25 00:41:13"
243,94.214.4.118,NL,443,"Backups,Documenten,Foto archief","2014-04-25 00:41:13"
244,83.87.91.90,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:13"
245,82.168.231.198,NL,443,"Movies,Music","2014-04-25 00:41:13"
246,62.45.152.177,NL,443,"movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:13"
247,83.82.205.190,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,Thomas cloud,TimeMachine","2014-04-25 00:41:13"
248,84.29.83.227,NL,443,"diversen,Films,Fotos,Muziek","2014-04-25 00:41:13"
249,83.161.22.57,NL,443,"Backups,Documents,HPP,Movies,Music,Pictures,Series,TimeMachine","2014-04-25 00:41:13"
250,85.151.237.111,NL,443,Shares,"2014-04-25 00:41:13"
251,84.105.194.18,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:13"
252,89.99.163.18,NL,443,"eBooks,Games,Movies,Muziek,Pictures,QuikTransfer","2014-04-25 00:41:13"
253,82.161.202.77,NL,443,Video,"2014-04-25 00:41:13"
254,195.240.224.31,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine,USB_ST950032_5AS_1","2014-04-25 00:41:13"
255,213.109.112.78,NL,443,"Movies,Music,Pictures,Shared Pictures,Torrent Downloads","2014-04-25 00:41:13"
256,84.105.203.73,NL,443,"Christ,data,download,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:13"
257,84.29.127.5,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:13"
258,84.26.247.67,NL,443,"Backups,TimeMachine","2014-04-25 00:41:13"
259,82.168.106.95,NL,443,"Backup,Documenten,Media,QuikTransfer,Software,TimeMachine","2014-04-25 00:41:13"
260,82.72.169.197,NL,443,"Backups,Cloud,Documents,Download,Movies,Music,Pictures,QuikTransfer,Software,TimeMachine","2014-04-25 00:41:13"
